date,hometeam,awayteam,homegoals,awaygoals,ghost
2020-06-17,Leverkusen,FC Koln,3,1,1
2020-06-17,RB Leipzig,Fortuna Dusseldorf,2,2,1
2020-06-20,Mainz,Werder Bremen,3,1,1
2020-06-20,Paderborn,M'gladbach,1,3,1
2020-06-20,Hoffenheim,Union Berlin,4,0,1
2020-06-20,RB Leipzig,Dortmund,0,2,1
2020-06-20,Fortuna Dusseldorf,Augsburg,1,1,1
2020-06-20,FC Koln,Ein Frankfurt,1,1,1
2020-06-20,Bayern Munich,Freiburg,3,1,1
2020-06-20,Hertha,Leverkusen,2,0,1
2020-06-20,Schalke 04,Wolfsburg,1,4,1
2020-06-27,M'gladbach,Hertha,2,1,1
2020-06-27,Union Berlin,Fortuna Dusseldorf,3,0,1
2020-06-27,Leverkusen,Mainz,1,0,1
2020-06-27,Werder Bremen,FC Koln,6,1,1
2020-06-27,Ein Frankfurt,Paderborn,3,2,1
2020-06-27,Dortmund,Hoffenheim,0,4,1
2020-06-27,Augsburg,RB Leipzig,1,2,1
2020-06-27,Freiburg,Schalke 04,4,0,1
2020-06-27,Wolfsburg,Bayern Munich,0,4,1
